epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,64.844,1.53432,0.88178,1.25351,0.94703,0.86667,0.95129,0.55985,1.48966,0.86353,1.25838,0.00448574,0.00448574,0.00448574
120,65.3245,1.54928,0.90579,1.30534,0.95417,0.88325,0.95003,0.55639,1.49582,0.8684,1.24834,0.00441558,0.00441558,0.00441558
121,65.7893,1.59345,0.88139,1.23967,0.92961,0.88048,0.94443,0.5354,1.53714,0.84541,1.27921,0.00434554,0.00434554,0.00434554
122,66.2548,1.581,0.9036,1.3186,0.96164,0.90303,0.95875,0.56807,1.44958,0.80818,1.23132,0.00427565,0.00427565,0.00427565
123,66.7458,1.5446,0.8504,1.23464,0.94631,0.89697,0.95144,0.50841,1.60226,0.84477,1.30548,0.00420592,0.00420592,0.00420592
124,67.2756,1.58695,0.89108,1.29738,0.95445,0.88897,0.95492,0.56239,1.43866,0.81085,1.23531,0.00413635,0.00413635,0.00413635
125,67.7434,1.50173,0.85861,1.26258,0.97284,0.8682,0.94641,0.55873,1.46234,0.83427,1.23715,0.00406698,0.00406698,0.00406698
126,68.216,1.50723,0.87663,1.2648,0.92511,0.89835,0.94621,0.56133,1.43242,0.82682,1.22253,0.0039978,0.0039978,0.0039978
127,68.6877,1.56428,0.87778,1.28789,0.9537,0.87386,0.95066,0.55246,1.48557,0.83623,1.24998,0.00392884,0.00392884,0.00392884
128,69.1578,1.45478,0.85555,1.2154,0.94599,0.89697,0.95374,0.5845,1.40314,0.80053,1.20977,0.00386011,0.00386011,0.00386011
129,69.6438,1.46889,0.84186,1.2258,0.94877,0.89799,0.95043,0.55486,1.49032,0.81453,1.24806,0.00379162,0.00379162,0.00379162
130,70.111,1.49277,0.84149,1.2426,0.96067,0.88832,0.95449,0.59003,1.38258,0.7651,1.19608,0.00372339,0.00372339,0.00372339
131,70.5898,1.4488,0.81653,1.20563,0.95444,0.88881,0.9561,0.5674,1.4707,0.79529,1.22734,0.00365542,0.00365542,0.00365542
132,71.0607,1.49534,0.8535,1.26421,0.96093,0.89443,0.95746,0.5882,1.37726,0.76505,1.18803,0.00358775,0.00358775,0.00358775
133,71.592,1.4408,0.82143,1.21791,0.96707,0.88997,0.95718,0.5806,1.42521,0.78668,1.21434,0.00352037,0.00352037,0.00352037
134,72.0613,1.45482,0.84211,1.26637,0.93633,0.89125,0.94999,0.58229,1.3785,0.76293,1.19252,0.0034533,0.0034533,0.0034533
135,72.5431,1.44636,0.8197,1.22118,0.95042,0.90303,0.95609,0.5806,1.41253,0.77312,1.2145,0.00338656,0.00338656,0.00338656
136,73.0107,1.41956,0.8214,1.23392,0.94101,0.89697,0.94918,0.59118,1.35509,0.75067,1.18947,0.00332015,0.00332015,0.00332015
137,73.493,1.53699,0.82199,1.21618,0.92973,0.88208,0.94662,0.55779,1.46299,0.77799,1.24169,0.0032541,0.0032541,0.0032541
138,73.9615,1.44388,0.82277,1.24944,0.91012,0.92056,0.95688,0.5816,1.36633,0.76213,1.20131,0.00318842,0.00318842,0.00318842
139,74.4283,1.43831,0.80491,1.20336,0.93126,0.89091,0.9512,0.56738,1.42864,0.78184,1.22699,0.00312311,0.00312311,0.00312311
